,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
344,WWE SmackDown vs. RAW 2007,PS2,Fighting,THQ,Yuke's,8.0,2.58,1.4,0.03,0.88,0.26,2006-11-14
348,Dragon Age: Origins,X360,Role-Playing,Electronic Arts,BioWare Edmonton,8.5,2.56,1.76,0.03,0.55,0.22,2009-11-03
350,FIFA 16,PS3,Sports,EA Sports,EA Canada,9.0,2.55,0.43,0.05,1.68,0.38,2015-09-22
352,Crazy Taxi,PS2,Racing,Acclaim Entertainment,Hitmaker,8.2,2.52,1.13,0.06,1.12,0.22,2001-05-14
353,Tomb Raider (2013),PS3,Action,Square Enix,Crystal Dynamics,8.9,2.51,0.6,0.08,1.45,0.38,2013-03-05
354,Midnight Club: Los Angeles,PS3,Racing,Rockstar Games,Rockstar San Diego,8.3,2.5,1.59,0.05,0.54,0.33,2008-10-20
361,Saints Row: The Third,PS3,Action,THQ,Volition Inc.,8.3,2.48,0.86,0.18,1.06,0.37,2011-11-15
367,Pure,X360,Racing,Disney Interactive Studios,Black Rock Studio,8.3,2.47,1.38,0.0,0.84,0.25,2008-09-16
374,Tom Clancy's Rainbow Six: Vegas 2,X360,Shooter,Ubisoft,Ubisoft Montreal,8.2,2.42,1.56,0.02,0.61,0.23,2008-03-18
375,Sonic Adventure,DC,Platform,Sega,Sonic Team,8.9,2.42,1.26,0.46,0.61,0.08,1999-09-09
377,Halo: Combat Evolved Anniversary,X360,Shooter,Microsoft Studios,343 Industries,8.0,2.41,1.44,0.04,0.71,0.22,2011-11-15
378,Kinect: Disneyland Adventures,X360,Action-Adventure,Microsoft Studios,Frontier Developments,8.5,2.41,1.73,0.02,0.43,0.23,2011-11-15
380,Pro Evolution Soccer 2011,PS3,Sports,Konami,Konami,6.0,2.41,0.29,0.54,1.18,0.41,2010-10-05
385,Midnight Club: Los Angeles,X360,Racing,Rockstar Games,Rockstar San Diego,8.0,2.4,1.72,0.01,0.45,0.22,2008-10-20
395,The Incredibles,PS2,Action,THQ,Heavy Iron Studios,5.9,2.37,0.96,0.04,1.08,0.3,2004-10-31
404,Dragon Age: Inquisition,PS4,Role-Playing,Electronic Arts,BioWare Edmonton,8.6,2.34,1.07,0.08,0.8,0.38,2014-11-18
405,Kinect Sports: Season Two,X360,Sports,Microsoft Studios,Rare Ltd.,6.6,2.33,1.38,0.02,0.72,0.21,2011-10-25
407,Grand Theft Auto,PS,Action,Take-Two Interactive,DMA Design,6.0,2.32,0.79,0.04,1.35,0.14,1998-06-30
412,The Sims 3,X360,Simulation,Electronic Arts,The Sims Studio,8.0,2.31,1.28,0.0,0.82,0.2,2010-10-26
415,Dead Island,PS3,Action,Deep Silver,Techland,6.7,2.29,1.08,0.15,0.74,0.32,2011-09-06
418,Pro Evolution Soccer 2010,PS3,Sports,Konami,Konami,7.0,2.28,0.3,0.46,1.27,0.26,2009-11-03
424,No Man's Sky,PS4,Action-Adventure,Hello Games,Hello Games,6.8,2.26,0.89,0.04,0.97,0.37,2016-08-09
426,Guitar Hero III: Legends of Rock,PS3,Misc,RedOctane,Neversoft,8.2,2.25,1.4,0.02,0.53,0.3,2007-10-28
443,Need for Speed: Hot Pursuit,X360,Racing,Electronic Arts,Criterion Games,8.8,2.2,1.03,0.0,0.96,0.21,2010-11-16
444,BioShock 2,X360,Shooter,2K Games,2K Marin,8.6,2.2,1.45,0.02,0.54,0.2,2010-02-09
449,Pro Evolution Soccer 2012,PS3,Sports,Konami,Konami,7.5,2.19,0.34,0.55,0.97,0.32,2011-09-27
451,Final Fantasy XIII,X360,Role-Playing,Square Enix,Square Enix,8.1,2.19,1.3,0.01,0.67,0.21,2010-03-09
453,Need for Speed: Payback,PS4,Racing,Electronic Arts,Ghost Games,5.8,2.18,0.62,0.04,1.18,0.34,2017-11-10
465,NBA 2K12,PS3,Sports,2K Sports,Visual Concepts,9.0,2.13,1.62,0.05,0.27,0.18,2011-10-04
471,Need for Speed: Hot Pursuit 2,PS2,Racing,Electronic Arts,EA Seattle,8.7,2.11,1.68,0.02,0.31,0.09,2002-10-01
472,PES 2009: Pro Evolution Soccer,PS3,Sports,Konami,Konami,7.7,2.11,0.11,0.4,1.34,0.26,2008-11-11
473,NBA 2K11,X360,Sports,2K Sports,Visual Concepts,8.8,2.11,1.86,0.01,0.12,0.13,2010-10-05
478,Grand Theft Auto: Episodes from Liberty City,PS3,Adventure,Rockstar Games,Rockstar North,9.0,2.09,0.62,0.13,0.99,0.34,2010-04-13
479,Need for Speed: Most Wanted 5-1-0,PSP,Racing,Electronic Arts,EA Black Box,7.4,2.09,1.77,0.02,0.13,0.17,2005-11-15
482,Metal Gear Solid: Peace Walker,PSP,Action,Konami,Kojima Productions,8.6,2.08,0.46,0.96,0.42,0.25,2010-06-08
486,Portal 2,X360,Shooter,Valve,Valve Software,9.6,2.08,1.41,0.01,0.49,0.17,2011-04-19
487,UFC 2009 Undisputed,X360,Fighting,THQ,Yuke's Osaka,8.4,2.07,1.48,0.0,0.39,0.19,2009-05-19
492,Call of Duty 2,X360,Shooter,Activision,Infinity Ward,8.8,2.06,1.84,0.01,0.04,0.16,2005-11-17
493,R4: Ridge Racer Type 4,PS,Racing,Namco,Namco,9.1,2.06,0.68,0.79,0.46,0.13,1999-05-04
494,The Incredibles,GBA,Action,THQ,Helixe,5.4,2.06,1.15,0.04,0.77,0.1,2004-10-31
497,Tom Clancy's Splinter Cell: Conviction,X360,Action,Ubisoft,Ubisoft Montreal,8.6,2.06,1.2,0.04,0.62,0.19,2010-04-13
498,Need for Speed: Undercover,PS3,Racing,Electronic Arts,EA Vancouver,5.9,2.06,0.63,0.05,1.01,0.38,2008-11-17
500,Dark Souls,PS3,Role-Playing,Namco Bandai,From Software,9.0,2.05,0.75,0.54,0.53,0.22,2011-10-04
503,Need for Speed: ProStreet,X360,Racing,Electronic Arts,EA Black Box,7.1,2.05,1.04,0.01,0.79,0.21,2007-11-15
506,Dragon Quest XI: Echoes of an Elusive Age,PS4,Role-Playing,Square Enix,Square Enix,9.5,2.04,0.29,1.43,0.22,0.1,2018-09-04
507,PGR4 - Project Gotham Racing 4,X360,Racing,Microsoft Game Studios,Bizarre Creations,8.6,2.04,0.48,0.02,1.28,0.25,2007-10-02
508,Need for Speed: ProStreet,PS3,Racing,Electronic Arts,EA Black Box,7.2,2.04,0.73,0.04,0.91,0.36,2007-11-13
510,Dance Central 2,X360,Music,Microsoft,Harmonix Music Systems,8.6,2.04,1.45,0.01,0.41,0.16,2011-10-25
518,The Sims 3,PS3,Simulation,Electronic Arts,The Sims Studio,8.1,2.03,0.73,0.02,0.96,0.31,2010-10-26
522,Need for Speed: The Run,PS3,Racing,Electronic Arts,EA Black Box,6.3,2.01,0.58,0.03,1.05,0.35,2011-11-15
526,Tenchu: Stealth Assassins,PS,Action,Activision,Acquire,8.8,1.99,0.95,0.27,0.64,0.13,1998-08-31
527,Harry Potter and the Chamber of Secrets,GBA,Adventure,Electronic Arts,Eurocom Entertainment Software,7.2,1.99,1.21,0.05,0.64,0.09,2002-11-14
530,Just Cause 3,PS4,Action-Adventure,Square Enix,Avalanche Studios,7.5,1.98,0.53,0.09,1.07,0.3,2015-12-01
536,Hot Shots Golf: Open Tee,PSP,Sports,Sony Computer Entertainment,Clap Hanz,8.4,1.96,0.5,0.63,0.5,0.33,2005-05-03
540,Tom Clancy's Rainbow Six: Vegas,X360,Shooter,Ubisoft,Ubisoft Montreal,8.8,1.95,1.09,0.02,0.65,0.2,2006-11-20
544,Burnout Paradise,PS3,Racing,Electronic Arts,Criterion Games,9.0,1.95,1.01,0.02,0.63,0.28,2008-01-22
552,FIFA Soccer 09,X360,Sports,Electronic Arts,EA Canada,8.7,1.94,0.49,0.01,1.26,0.18,2008-10-14
557,The Legend of Zelda: Oracle of Ages,GBC,Adventure,Nintendo,Flagship,9.4,1.92,0.92,0.41,0.53,0.06,2001-05-13
564,Need for Speed: Shift,X360,Racing,Electronic Arts,Slightly Mad Studios,8.2,1.91,0.73,0.01,0.96,0.22,2009-09-15
565,Star Wars Rogue Leader: Rogue Squadron II,GC,Simulation,LucasArts,Factor 5,9.2,1.9,1.03,0.03,0.75,0.09,2001-11-09
566,Tomb Raider (2013),X360,Action,Square Enix,Crystal Dynamics,8.5,1.9,0.86,0.01,0.87,0.16,2013-03-05
569,Madden NFL 09,PS3,Sports,EA Sports,EA Tiburon,8.6,1.89,1.56,0.0,0.15,0.18,2008-08-12
571,Minecraft,NS,Sandbox,Mojang,4J Studios,9.2,1.89,0.69,0.52,0.56,0.12,2018-06-21
577,FIFA 2000,PS,Sports,EA Sports,EA Canada,8.8,1.87,0.22,0.04,1.47,0.14,1999-10-09
579,inFAMOUS 2,PS3,Action,Sony Computer Entertainment,Sucker Punch Productions,8.1,1.87,1.05,0.08,0.48,0.26,2011-06-07
581,The Legend of Dragoon,PS,Role-Playing,Sony Computer Entertainment,SCEI,7.8,1.86,0.94,0.39,0.44,0.1,2000-06-11
583,The Legend of Zelda: Oracle of Seasons,GBC,Adventure,Nintendo,Flagship,9.3,1.86,0.87,0.41,0.52,0.06,2001-05-13
584,The Evil Within,PS4,Action,Bethesda Softworks,Tango Gameworks,7.7,1.86,0.56,0.11,0.9,0.28,2014-10-14
585,Shrek 2,PS2,Platform,Activision,"Luxoflux, Inc.",6.9,1.86,1.12,0.03,0.69,0.02,2004-04-28
586,Star Wars: The Force Unleashed,Wii,Action,LucasArts,Krome Studios,6.8,1.86,1.11,0.0,0.56,0.19,2008-09-16
592,Forza Horizon 4,XOne,Racing,Microsoft Studios,Playground Games,9.2,1.84,0.74,0.01,0.95,0.15,2018-10-02
600,BioShock Infinite,PS3,Shooter,2K Games,Irrational Games,9.5,1.82,0.74,0.04,0.74,0.3,2013-03-26
603,The Orange Box,X360,Shooter,Electronic Arts,Valve Software,9.7,1.82,1.09,0.02,0.53,0.17,2007-10-10
606,Crazy Taxi,DC,Racing,Sega,Hitmaker,9.3,1.81,1.1,0.12,0.51,0.08,2000-01-24
624,UFC 2009 Undisputed,PS3,Fighting,THQ,Yuke's Osaka,8.4,1.76,1.07,0.01,0.45,0.24,2009-05-19
633,Just Cause 2,PS3,Action,Square Enix,Avalanche Studios,8.3,1.75,0.45,0.06,0.92,0.32,2010-03-23
640,FIFA Soccer 08,PS3,Sports,EA Sports,EA Canada,8.5,1.75,0.35,0.02,1.07,0.31,2007-10-09
658,Titanfall 2,PS4,Shooter,Electronic Arts,Respawn Entertainment,8.9,1.72,0.75,0.06,0.62,0.28,2016-10-28
662,Portal 2,PS3,Shooter,Valve,Valve Software,9.6,1.71,0.83,0.02,0.62,0.24,2011-04-19
666,Call of Duty Black Ops: Declassified,PSV,Shooter,Activision,Nihilistic,3.2,1.71,0.74,0.07,0.52,0.38,2012-11-13
677,Harry Potter and the Sorcerer's Stone,GBA,Action,Electronic Arts,Griptonite Games,6.6,1.69,0.87,0.08,0.66,0.08,2001-11-15
683,Need for Speed: Undercover,X360,Racing,Electronic Arts,EA Vancouver,6.3,1.69,0.8,0.01,0.7,0.18,2008-11-17
685,Time Crisis,PS,Shooter,Namco,Namco,8.5,1.68,0.38,0.33,0.87,0.1,1997-10-31
687,Far Cry 4,XOne,Shooter,Ubisoft,Ubisoft Montreal,8.5,1.68,0.85,0.02,0.68,0.14,2014-11-18
689,Saints Row 2,PS3,Action,THQ,Volition Inc.,7.9,1.68,0.88,0.02,0.54,0.24,2008-10-14
690,Dragon Age: Origins,PS3,Role-Playing,Electronic Arts,BioWare Edmonton,8.7,1.67,0.96,0.08,0.42,0.21,2009-11-03
695,PGR: Project Gotham Racing 2,XB,Racing,Microsoft Game Studios,Bizarre Creations,8.9,1.67,0.97,0.04,0.59,0.07,2003-11-17
708,Need for Speed Carbon,X360,Racing,Electronic Arts,EA Black Box,7.9,1.65,0.76,0.02,0.69,0.18,2006-10-31
709,MySims,Wii,Simulation,Electronic Arts,EA Redwood Shores,7.1,1.65,0.9,0.04,0.54,0.17,2007-09-18
717,Army of Two,X360,Shooter,Electronic Arts,EA Montreal,6.7,1.64,1.09,0.02,0.37,0.16,2008-03-07
721,Ape Escape,PS,Platform,Sony Computer Entertainment,SCE Japan Studio,9.3,1.63,0.71,0.32,0.48,0.11,1999-05-31
724,Uncharted: Golden Abyss,PSV,Action,Sony Computer Entertainment,SCEA Bend Studio / Naughty Dog,7.9,1.62,0.53,0.13,0.71,0.25,2012-02-15
725,The Order: 1886,PS4,Shooter,Sony Computer Entertainment,Ready at Dawn,6.2,1.62,0.44,0.07,0.86,0.25,2015-02-20
731,Kinectimals,X360,Simulation,Microsoft Game Studios,Frontier Studio,7.5,1.62,1.02,0.0,0.46,0.14,2010-11-04
739,Rage,X360,Shooter,Bethesda Softworks,id Software,7.9,1.6,0.82,0.03,0.6,0.15,2011-10-04
741,Just Cause 2,X360,Action,Square Enix,Avalanche Studios,8.0,1.6,0.59,0.02,0.83,0.17,2010-03-23
743,Pro Evolution Soccer 2008,PS3,Sports,Konami,Konami,7.1,1.59,0.04,0.32,1.1,0.13,2008-03-12
744,Soul Blade,PS,Fighting,Namco,Namco,8.6,1.59,0.61,0.46,0.41,0.1,1997-01-01
747,Far Cry 2,X360,Shooter,Ubisoft,Ubisoft Montreal,8.5,1.59,0.72,0.02,0.69,0.18,2008-10-21
748,Sonic Generations,PS3,Platform,Sega,Sonic Team,7.3,1.59,0.6,0.02,0.72,0.25,2011-11-01
755,Devil May Cry 4,PS3,Action,Capcom,Capcom,8.2,1.58,0.58,0.34,0.45,0.2,2008-02-05
760,Pro Evolution Soccer 2010,PS2,Sports,Konami,Konami,7.2,1.57,0.1,0.12,0.18,1.16,2009-11-10
772,007: The World is Not Enough,N64,Shooter,Electronic Arts,Eurocom Entertainment Software,7.4,1.55,1.13,0.02,0.38,0.03,2000-10-17
776,BioShock 2,PS3,Shooter,2K Games,2K Marin,8.5,1.55,0.85,0.02,0.46,0.22,2010-02-09
779,Need for Speed: Most Wanted (2012),X360,Racing,Electronic Arts,Criterion Games,8.5,1.54,0.62,0.01,0.79,0.12,2012-10-30
782,Dark Cloud,PS2,Role-Playing,Sony Computer Entertainment,Level 5,8.2,1.54,0.83,0.08,0.44,0.19,2001-05-28
783,Go Vacation,Wii,Misc,Namco Bandai,Namco Bandai Games,7.0,1.54,0.42,0.33,0.66,0.13,2011-10-11
796,Forza Motorsport 7,XOne,Racing,Microsoft Studios,Turn 10 Studios,8.9,1.52,0.58,0.01,0.81,0.12,2017-10-03
805,Call of Duty 3,PS3,Shooter,Activision,Treyarch,7.7,1.51,0.6,0.03,0.63,0.26,2006-11-15
821,WWF No Mercy,N64,Fighting,THQ,Aki Corp.,9.1,1.5,1.2,0.02,0.27,0.02,2000-11-17
822,SoulCalibur II,GC,Fighting,Namco,Namco,9.2,1.5,0.99,0.11,0.32,0.08,2003-08-27
826,Metal Gear Rising: Revengeance,PS3,Action,Konami Digital Entertainment,PlatinumGames,9.0,1.5,0.47,0.44,0.41,0.18,2013-02-19
827,Dead Rising 2,X360,Action,Capcom,Blue Castle Games,8.2,1.49,0.75,0.09,0.53,0.13,2010-09-28
828,Mafia II,PS3,Action,2K Games,Illusion Softworks,7.0,1.49,0.5,0.04,0.7,0.25,2010-08-24
842,007: Quantum of Solace,X360,Shooter,Activision,Treyarch,6.6,1.48,0.82,0.01,0.51,0.14,2008-11-04
847,Fight Night Round 3,X360,Fighting,EA Sports,EA Chicago,8.6,1.47,1.33,0.01,0.03,0.1,2006-02-20
849,Minecraft,WiiU,Misc,Mojang,4J Studios,5.5,1.47,0.5,0.38,0.49,0.09,2016-06-17
857,Battlefield: Bad Company,X360,Shooter,Electronic Arts,EA Digital Illusions CE,8.6,1.46,0.81,0.04,0.46,0.15,2008-06-23
858,Mass Effect 3,PS3,Role-Playing,Electronic Arts,BioWare,8.9,1.46,0.65,0.03,0.58,0.2,2012-03-06
862,Mass Effect 2,PS3,Role-Playing,Electronic Arts,BioWare Edmonton,9.3,1.46,0.78,0.03,0.46,0.18,2011-01-18
863,Homefront,X360,Shooter,THQ,Kaos Studios,6.7,1.46,0.83,0.02,0.48,0.12,2011-03-15
864,Super Monkey Ball,GC,Puzzle,Sega,Amusement Vision,9.0,1.46,0.95,0.1,0.37,0.04,2001-11-17
870,The House of the Dead 2 & 3 Return,Wii,Shooter,Sega,Sega,6.5,1.45,0.77,0.03,0.5,0.15,2008-03-11
881,BioShock,PS3,Shooter,2K Games,2K Boston / 2K Australia / 2K Marin,9.3,1.44,0.75,0.01,0.48,0.21,2008-10-21
885,Kinect Joy Ride,X360,Racing,Microsoft Game Studios,Big Park,5.6,1.43,0.92,0.0,0.39,0.12,2010-11-04
890,WWE SmackDown vs Raw 2008,X360,Fighting,THQ,Yuke's Media Creations,7.3,1.43,0.92,0.0,0.38,0.13,2007-11-13
898,UFC Undisputed 2010,PS3,Fighting,THQ,Yuke's Future Media Creators,8.4,1.42,0.8,0.02,0.4,0.19,2010-05-25
903,Rayman Raving Rabbids,Wii,Misc,Ubisoft,Ubisoft Montpellier,7.5,1.42,1.22,0.02,0.07,0.11,2006-11-14
927,Sonic Generations,X360,Platform,Sega,Sonic Team,7.7,1.39,0.71,0.0,0.54,0.13,2011-11-01
934,Deus Ex: Human Revolution,X360,Shooter,Square Enix,Eidos Montreal,8.8,1.38,0.77,0.02,0.47,0.12,2011-08-23
941,Far Cry 2,PS3,Shooter,Ubisoft,Ubisoft Montreal,8.4,1.38,0.43,0.01,0.69,0.26,2008-10-21
942,Deus Ex: Human Revolution,PS3,Shooter,Square Enix,Eidos Montreal,8.8,1.38,0.5,0.07,0.6,0.22,2011-08-23
943,Dead Rising 2,PS3,Action,Capcom,Blue Castle Games,8.1,1.37,0.43,0.15,0.57,0.22,2010-09-28
947,Crysis 2,X360,Shooter,Electronic Arts,Crytek,8.7,1.37,0.73,0.02,0.5,0.13,2011-03-22
948,Need for Speed: The Run,X360,Racing,Electronic Arts,EA Black Box,5.5,1.37,0.63,0.0,0.57,0.16,2011-11-15
954,Metroid: Other M,Wii,Action,Nintendo,Nintendo SPD Production Group 1/Team Ninja,7.7,1.36,0.85,0.13,0.28,0.1,2010-08-31
959,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Fighting,Capcom,Capcom,8.2,1.36,0.81,0.11,0.28,0.15,2011-02-15
961,Wolfenstein II: The New Colossus,PS4,Shooter,Bethesda Softworks,MachineGames,9.0,1.36,0.55,0.01,0.58,0.22,2017-10-27
967,Gardening Mama,DS,Puzzle,Majesco,Taito Corporation,6.6,1.36,0.79,0.01,0.42,0.13,2009-03-31
973,FIFA Soccer 09,PSP,Sports,EA Sports,EA Canada,8.1,1.35,0.23,0.02,0.73,0.37,2008-10-14
977,Burnout Paradise,X360,Racing,Electronic Arts,Criterion,8.9,1.35,0.63,0.01,0.57,0.14,2008-01-22
979,Battlefield: Bad Company,PS3,Shooter,Electronic Arts,EA Digital Illusions CE,8.6,1.34,0.76,0.05,0.36,0.17,2008-06-23
980,F1 2010,PS3,Racing,Codemasters,Codemasters Birmingham,8.4,1.34,0.25,0.08,0.75,0.26,2010-09-21
982,Donkey Kong Jungle Beat,GC,Platform,Nintendo,Nintendo EAD Tokyo,7.9,1.34,0.84,0.24,0.22,0.04,2005-03-14
985,The ICO & Shadow of the Colossus Collection,PS3,Adventure,Sony Computer Entertainment,Bluepoint Games,9.0,1.34,0.67,0.13,0.36,0.18,2011-09-27
988,Need for Speed Carbon,PS2,Racing,Electronic Arts,EA Black Box,7.7,1.34,1.22,0.05,0.05,0.01,2006-10-31
990,Tom Clancy's Rainbow Six: Vegas 2,PS3,Shooter,Ubisoft,Ubisoft Montreal,8.2,1.34,0.66,0.04,0.45,0.2,2008-03-19
991,Devil May Cry 4,X360,Action,Capcom,Capcom,8.5,1.34,0.79,0.08,0.34,0.13,2008-02-05
992,WWE SmackDown vs Raw 2008,PS3,Fighting,THQ,Yuke's Media Creations,7.3,1.33,0.62,0.01,0.5,0.2,2007-11-13
995,Alan Wake,X360,Action,Microsoft Game Studios,Remedy Entertainment,8.3,1.33,0.66,0.05,0.5,0.12,2010-05-18
996,Crysis 2,PS3,Shooter,Electronic Arts,Crytek,8.8,1.33,0.48,0.06,0.57,0.22,2011-03-22
1000,Grand Theft Auto: Chinatown Wars,DS,Adventure,Rockstar Games,Rockstar Leeds/North,9.5,1.33,0.58,0.05,0.56,0.14,2009-03-17
1003,Spider-Man: The Movie,GBA,Platform,Activision,Digital Eclipse,7.9,1.33,0.92,0.01,0.35,0.05,2002-04-16
1004,Tony Hawk's Pro Skater,GB,Sports,Activision,Natsume,7.1,1.33,0.9,0.01,0.38,0.05,2000-02-29
1006,Fallout 76,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.1,1.32,0.52,0.1,0.49,0.2,2018-11-14
1008,Rage,PS3,Shooter,Bethesda Softworks,id Software,7.9,1.32,0.47,0.06,0.59,0.2,2011-10-04
1009,MAG: Massive Action Game,PS3,Shooter,Sony Computer Entertainment,Zipper Interactive,7.4,1.32,0.77,0.09,0.3,0.16,2010-01-26
1013,UFC Undisputed 2010,X360,Fighting,THQ,Yuke's Future Media Creators,8.6,1.32,0.9,0.0,0.31,0.11,2010-05-25
1014,Need for Speed Underground Rivals,PSP,Racing,Electronic Arts,Team Fusion,7.6,1.32,0.69,0.02,0.38,0.24,2005-03-14
1032,NBA Live 07,PS2,Sports,EA Sports,EA Canada,6.3,1.3,1.07,0.02,0.04,0.17,2006-09-25
1045,The Last Guardian,PS4,Action-Adventure,Sony Interactive Entertainment,SIE Japan Studio,7.9,1.29,0.4,0.13,0.58,0.19,2016-12-06
1055,Need for Speed Carbon,Wii,Racing,Electronic Arts,EA Black Box,6.4,1.28,0.45,0.02,0.66,0.15,2006-11-19
1059,.hack//Infection Part 1,PS2,Role-Playing,Bandai,CyberConnect2,7.7,1.27,0.49,0.26,0.38,0.13,2003-02-11
1071,WWE '12,X360,Fighting,THQ,"Yuke's Co., Ltd.",7.5,1.27,0.74,0.0,0.4,0.12,2011-11-22
1072,Castlevania: Symphony of the Night,PS,Platform,Konami,Konami Computer Entertainment Tokyo,9.3,1.27,0.58,0.21,0.4,0.08,1997-10-02
1076,SOCOM: U.S. Navy SEALs Confrontation,PS3,Shooter,Sony Computer Entertainment,Slant Six Games,6.3,1.26,0.94,0.02,0.17,0.14,2008-10-14
1081,Assassin's Creed: Bloodlines,PSP,Action,Ubisoft,Griptonite Studio,6.3,1.26,0.43,0.05,0.5,0.28,2009-11-17
1084,Tomb Raider: Underworld,PS3,Adventure,Eidos Interactive,Crystal Dynamics,7.8,1.26,0.45,0.05,0.55,0.21,2008-11-18
1093,Cars 2,DS,Racing,Disney Interactive Studios,Avalanche Software,6.5,1.25,0.68,0.04,0.41,0.12,2011-06-21
1094,Black,PS2,Shooter,Electronic Arts,Criterion Games,7.7,1.25,1.01,0.03,0.04,0.16,2006-02-28
1098,Need for Speed: Most Wanted,X360,Racing,Electronic Arts,Electronic Arts,8.4,1.25,1.0,0.02,0.13,0.1,2005-11-16
1105,Need for Speed Carbon,PS3,Racing,Electronic Arts,EA Black Box,7.8,1.24,0.49,0.03,0.51,0.2,2006-11-17
1114,2010 FIFA World Cup South Africa,PS3,Sports,EA Sports,EA Canada,8.2,1.23,0.3,0.07,0.64,0.22,2010-04-27
1120,Donkey Kong Country 2,GBA,Platform,Nintendo,Rare Ltd.,7.6,1.23,0.79,0.12,0.27,0.04,2004-11-15
1129,Star Wars Battlefront II,PSP,Shooter,LucasArts,Savage Entertainment,6.9,1.22,1.05,0.01,0.06,0.1,2005-11-01
1134,Intelligent Qube,PS,Puzzle,Sony Computer Entertainment,Sony Computer Entertainment,7.4,1.22,0.13,1.0,0.07,0.02,1997-09-30
1147,Bayonetta,PS3,Action,Sega,PlatinumGames,8.6,1.21,0.44,0.21,0.4,0.16,2010-01-05
1149,FIFA Soccer 11,PSP,Sports,EA Sports,HB Studios,7.0,1.21,0.13,0.01,0.7,0.36,2010-09-28
1155,F1 2011,PS3,Racing,Codemasters,Codemasters Birmingham,8.4,1.2,0.12,0.11,0.75,0.23,2011-09-20
1158,Metal Gear Solid V: Ground Zeroes,PS4,Action-Adventure,Konami Digital Entertainment,Kojima Productions,7.6,1.2,0.36,0.17,0.5,0.17,2014-03-18
1165,Shadow of the Colossus,PS4,Action-Adventure,Sony Interactive Entertainment,Bluepoint Games,9.3,1.2,0.44,0.05,0.52,0.19,2018-02-06
1168,Mario & Sonic at the London 2012 Olympic Games,3DS,Sports,Sega,Sega,6.5,1.19,0.18,0.27,0.66,0.08,2012-02-14
1176,Spider-Man: The Movie,GC,Action,Activision,Treyarch,7.6,1.19,0.86,0.01,0.27,0.04,2002-04-15
1179,Metal Gear Solid: Portable Ops,PSP,Action,Konami,Kojima Productions,8.7,1.19,0.38,0.38,0.35,0.09,2006-12-05
1181,WWE '12,PS3,Fighting,THQ,"Yuke's Co., Ltd.",9.0,1.18,0.53,0.02,0.45,0.17,2011-11-22
1191,Red Dead Redemption: Undead Nightmare,PS3,Action,Rockstar Games,Rockstar San Diego,10.0,1.18,0.47,0.06,0.45,0.19,2010-11-23
1193,WWE SmackDown vs. Raw 2010,PS3,Fighting,THQ,JAKKS Pacific,8.1,1.17,0.48,0.01,0.48,0.19,2009-10-20
1197,Mission: Impossible,N64,Action,Ocean,Infogrames,6.6,1.17,0.74,0.02,0.38,0.03,1998-07-18
1199,Army of Two,PS3,Shooter,Electronic Arts,EA Montreal,7.4,1.17,0.74,0.02,0.26,0.15,2008-03-07
1203,Medal of Honor Heroes 2,PSP,Shooter,Electronic Arts,Team Fusion,6.6,1.16,0.5,0.02,0.39,0.25,2007-11-13
1211,FIFA Soccer 10,PSP,Sports,EA Sports,EA Canada,7.9,1.16,0.16,0.01,0.68,0.31,2009-10-20
1215,Bushido Blade,PS,Fighting,Sony Computer Entertainment,Light Weight,8.2,1.16,0.39,0.43,0.27,0.08,1997-09-30
1218,Mirror's Edge,X360,Platform,Electronic Arts,EA Digital Illusions CE,7.6,1.16,0.51,0.01,0.51,0.12,2008-11-11
1219,Sunset Overdrive,XOne,Action,Microsoft Studios,Insomniac Games,8.0,1.16,0.64,0.0,0.42,0.1,2014-10-28
1224,The Elder Scrolls V: Skyrim,NS,Role-Playing,Bethesda Softworks,Bethesda Softworks,8.6,1.15,0.67,0.06,0.32,0.1,2017-11-17
1233,Dragon Quest VIII: Journey of the Cursed King,3DS,Role-Playing,Nintendo,Level 5 / Armor Project,8.8,1.15,0.14,0.88,0.11,0.02,2017-01-20
1237,Hot Shots Golf: Out of Bounds,PS3,Sports,Sony Computer Entertainment,Clap Hanz,8.3,1.14,0.31,0.76,0.03,0.04,2008-03-18
1242,Brave Fencer Musashi,PS,Role-Playing,Square,SquareSoft,8.4,1.14,0.25,0.65,0.17,0.07,1998-10-31
1243,Shadow of the Colossus,PS2,Adventure,Sony Computer Entertainment,Team ICO,9.1,1.14,0.78,0.2,0.03,0.13,2005-10-18
1252,007: Quantum of Solace,PS3,Shooter,Activision,Treyarch,6.6,1.14,0.43,0.02,0.51,0.19,2008-11-04
1259,Rocksmith,PS3,Misc,Ubisoft,Ubisoft,8.0,1.13,0.53,0.09,0.38,0.13,2011-10-18
1264,Rocksmith,X360,Misc,Ubisoft,Ubisoft,8.0,1.13,0.85,0.01,0.19,0.08,2011-10-18
1265,ModNation Racers,PS3,Racing,Sony Computer Entertainment,United Front Games,8.1,1.13,0.5,0.06,0.4,0.16,2010-05-25
1266,Plants vs Zombies: Garden Warfare,X360,Shooter,Electronic Arts,PopCap Games,8.0,1.13,0.54,0.0,0.5,0.09,2014-02-25
